As-Of-Date,Symbol,Name,% of Assets,Market Value
2020-12-31,SRC,SPIRIT REALTY CAPITAL INC REIT USD.05,0.0115419200,1600653.9900000000
2020-12-31,ACHC,ACADIA HEALTHCARE CO INC COMMON STOCK USD.01,0.0115366800,1599926.5800000000
2020-12-31,ROLL,RBC BEARINGS INC COMMON STOCK USD.01,0.0115365000,1599901.4400000000
2020-12-31,MMS,MAXIMUS INC COMMON STOCK,0.0115156200,1597005.8000000000
2020-12-31,ARES,ARES MANAGEMENT CORP   A COMMON STOCK,0.0114699000,1590666.4000000000
2020-12-31,FOX,FOX CORP   CLASS B COMMON STOCK USD.01,0.0114385700,1586320.6400000000
2020-12-31,ARNA,ARENA PHARMACEUTICALS INC COMMON STOCK USD.0001,0.0114190900,1583619.9600000000
2020-12-31,KBR,KBR INC COMMON STOCK USD.001,0.0113240600,1570439.8200000000
2020-12-31,CCMP,CMC MATERIALS INC COMMON STOCK USD.001,0.0113124500,1568829.7000000000
2020-12-31,ALLK,ALLAKOS INC COMMON STOCK USD.001,0.0113064600,1568000.0000000000
2020-12-31,AYI,ACUITY BRANDS INC COMMON STOCK USD.01,0.0112845900,1564967.1600000000
2020-12-31,EVR,EVERCORE INC   A COMMON STOCK USD.01,0.0112769300,1563904.9600000000
2020-12-31,PE,PARSLEY ENERGY INC CLASS A COMMON STOCK USD.01,0.0112648400,1562227.2000000000
2020-12-31,EDIT,EDITAS MEDICINE INC COMMON STOCK USD.0001,0.0112089700,1554478.9200000000
2020-12-31,BHVN,BIOHAVEN PHARMACEUTICAL HOLD COMMON STOCK,0.0111950600,1552550.9400000000
2020-12-31,MTG,MGIC INVESTMENT CORP COMMON STOCK USD1.0,0.0111607400,1547791.5000000000
2020-12-31,ENV,ENVESTNET INC COMMON STOCK,0.0111536300,1546805.1300000000
2020-12-31,ASGN,ASGN INC COMMON STOCK USD.01,0.0111404100,1544970.8800000000
2020-12-31,GBCI,GLACIER BANCORP INC COMMON STOCK USD.01,0.0111390700,1544785.7500000000
2020-12-31,THG,HANOVER INSURANCE GROUP INC/ COMMON STOCK USD.01,0.0111371100,1544513.2000000000
2020-12-31,FOXF,FOX FACTORY HOLDING CORP COMMON STOCK USD.001,0.0111242600,1542731.7400000000
2020-12-31,AA,ALCOA CORP COMMON STOCK USD.01,0.0111031900,1539809.1500000000
2020-12-31,VRNT,VERINT SYSTEMS INC COMMON STOCK USD.001,0.0111028700,1539765.6000000000
2020-12-31,KNSL,KINSALE CAPITAL GROUP INC COMMON STOCK USD.01,0.0110526100,1532795.6700000000
2020-12-31,VVV,VALVOLINE INC COMMON STOCK USD.01,0.0110422500,1531358.9200000000
2020-12-31,RPRX,ROYALTY PHARMA PLC  CL A COMMON STOCK,0.0109774400,1522370.8500000000
2020-12-31,LOPE,GRAND CANYON EDUCATION INC COMMON STOCK USD.01,0.0109739200,1521882.9500000000
2020-12-31,SLG,SL GREEN REALTY CORP REIT USD.01,0.0109672600,1520958.2400000000
2020-12-31,FTDR,FRONTDOOR INC COMMON STOCK USD.01,0.0109462800,1518049.1400000000
2020-12-31,NEOG,NEOGEN CORP COMMON STOCK USD.16,0.0109090500,1512885.4000000000
2020-12-31,NOVT,NOVANTA INC COMMON STOCK,0.0108705100,1507541.4400000000
2020-12-31,QRTEA,QURATE RETAIL INC SERIES A COMMON STOCK USD.01,0.0108568300,1505643.4700000000
2020-12-31,ASH,ASHLAND GLOBAL HOLDINGS INC COMMON STOCK,0.0108507400,1504800.0000000000
2020-12-31,FL,FOOT LOCKER INC COMMON STOCK USD.01,0.0108444200,1503923.1600000000
2020-12-31,APPS,DIGITAL TURBINE INC COMMON STOCK USD.0001,0.0107898200,1496351.3600000000
2020-12-31,VRT,VERTIV HOLDINGS CO COMMON STOCK USD.0001,0.0107897700,1496344.4900000000
2020-12-31,PTCT,PTC THERAPEUTICS INC COMMON STOCK USD.001,0.0107602100,1492244.5300000000
2020-12-31,ICUI,ICU MEDICAL INC COMMON STOCK USD.1,0.0107568400,1491777.9500000000
2020-12-31,THC,TENET HEALTHCARE CORP COMMON STOCK USD.05,0.0107232100,1487112.9900000000
2020-12-31,QLYS,QUALYS INC COMMON STOCK USD.001,0.0107113800,1485473.4300000000
2020-12-31,UBSI,UNITED BANKSHARES INC COMMON STOCK USD2.5,0.0106941100,1483077.6000000000
